,subject_id,condition,rep,lvl0_start,lvl1_start,lvl2_start,lvl3_start,lvl4_start,lvl5_start,lvl6_start,lvl7_start,lvl7_end
180,55723,NE,0,-0.019,45.981,71.981,92.981,126.981,147.981,177.981,198.981,223.981
181,55723,NE,1,-0.014,43.986,64.986,84.986,118.986,136.986,167.986,183.986,203.986
182,55723,NE_empty,0,-0.014,46.986,69.986,94.986,128.986,149.986,181.986,202.986,224.986
183,55723,NE_empty,1,-0.011,43.989,66.989,84.989,117.989,138.989,167.989,187.989,208.989
184,69661,ES,0,-0.005,40.995,59.995,75.995,102.995,116.995,143.995,157.995,172.995
185,69661,ES,1,-0.009,40.991,57.991,71.991,97.991,111.991,137.991,151.991,166.991
186,69661,ES_empty,0,-0.009,43.991,62.991,79.991,108.991,124.991,153.991,169.991,183.991
187,69661,ES_empty,1,-0.017,39.983,56.983,72.983,98.983,109.983,136.983,152.983,166.983
188,69661,NE,0,-0.017,40.983,55.983,70.983,96.983,108.983,132.983,144.983,158.983
189,69661,NE,1,-0.013,39.987,56.987,73.987,98.987,112.987,141.987,154.987,168.987
190,69661,NE_empty,0,-0.009,42.991,59.991,76.991,105.991,119.991,143.991,158.991,174.991
191,69661,NE_empty,1,-0.005,40.995,56.995,70.995,99.995,111.995,139.995,157.995,171.995
192,73757,ES,0,-0.008,43.992,61.992,77.992,105.992,121.992,150.992,166.992,182.992
193,73757,ES,1,-0.006,43.994,63.994,81.994,109.994,124.994,152.994,169.994,186.994
194,73757,ES_empty,0,-0.014,46.986,66.986,87.986,120.986,138.986,170.986,190.986,210.986
195,73757,ES_empty,1,-0.011,41.989,57.989,72.989,99.989,115.989,144.989,160.989,178.989
196,73757,NE,0,-0.012,41.988,63.988,80.988,109.988,123.988,151.988,167.988,187.988
197,73757,NE,1,-0.017,38.983,56.983,73.983,100.983,115.983,142.983,155.983,170.983
198,73757,NE_empty,0,-0.013,43.987,61.987,80.987,110.987,127.987,156.987,172.987,190.987
199,73757,NE_empty,1,-0.002,41.998,57.998,75.998,106.998,121.998,151.998,166.998,182.998
200,78624,ES,0,-0.013,46.987,68.987,89.987,122.987,143.987,177.987,198.987,221.987
201,78624,ES,1,-0.008,47.992,71.992,92.992,126.992,147.992,180.992,199.992,220.992
202,78624,ES_empty,0,-0.011,50.989,75.989,97.989,132.989,154.989,186.989,205.989,225.989
203,78624,ES_empty,1,-0.003,46.997,69.997,88.997,122.997,141.997,175.997,195.997,216.997
204,78624,NE,0,-0.006,45.994,70.994,92.994,128.994,149.994,182.994,202.994,224.994
205,78624,NE,1,-0.011,47.989,72.989,93.989,131.989,151.989,187.989,209.989,232.989
206,78624,NE_empty,0,-0.008,47.992,70.992,94.992,128.992,146.992,177.992,195.992,217.992
207,78624,NE_empty,1,-0.006,46.994,69.994,89.994,123.994,142.994,178.994,198.994,220.994
208,97750,ES,0,-0.012,47.988,69.988,89.988,120.988,140.988,174.988,196.988,216.988
209,97750,ES,1,-0.0,46.0,66.0,86.0,118.0,133.0,164.0,179.0,199.0
210,97750,ES_empty,0,-0.0,50.0,73.0,93.0,127.0,150.0,185.0,208.0,232.0
211,97750,ES_empty,1,-0.003,45.997,65.997,85.997,116.997,135.997,169.997,187.997,208.997
212,97750,NE,0,-0.019,46.981,67.981,87.981,120.981,139.981,172.981,188.981,206.981
213,97750,NE,1,-0.011,45.989,65.989,83.989,114.989,130.989,161.989,178.989,197.989
214,97750,NE_empty,0,-0.012,49.988,76.988,99.988,135.988,156.988,189.988,209.988,231.988
215,97750,NE_empty,1,-0.01,46.99,67.99,85.99,117.99,134.99,167.99,183.99,203.99
216,99572,ES,0,-0.013,34.987,47.987,59.987,70.987,81.987,104.987,114.987,126.987
217,99572,ES,1,-0.018,37.982,50.982,63.982,74.982,85.982,108.982,119.982,133.982
218,99572,ES_empty,0,-0.006,35.994,48.994,62.994,73.994,83.994,106.994,117.994,129.994
219,99572,ES_empty,1,-0.004,34.996,49.996,62.996,71.996,83.996,107.996,119.996,132.996
220,99572,NE,0,-0.014,36.986,48.986,60.986,71.986,82.986,104.986,115.986,127.986
221,99572,NE,1,-0.006,34.994,49.994,61.994,86.994,97.994,120.994,132.994,146.994
222,99572,NE_empty,0,-0.006,37.994,50.994,62.994,88.994,100.994,123.994,135.994,147.994
223,99572,NE_empty,1,-0.005,36.995,51.995,63.995,86.995,98.995,121.995,132.995,145.995
